Date,Federal minimum wage (nominal dollars Jan 01),Federal minimum wage( real value 2022-06-01),Average wages of production and nonsupervisory workers,Federal minimum wage as a share of average wages of production and nonsupervisory workers,
2022,$7.25,$7.59,$7.25,$24.67,29.40%
2021,$7.25,$8.17,$23.80,30.80%,
2020,$7.25,$8.27,$23.41,31.90%,
2019,$7.25,$8.47,$23.28,32.90%,
2018,$7.25,$8.61,$23.22,33.70%,
2017,$7.25,$8.78,$22.98,34.50%,
2016,$7.25,$9.00,$22.55,35.20%,
2015,$7.25,$9.13,$22.40,36.00%,
2014,$7.25,$9.13,$22.28,36.70%,
2013,$7.25,$9.27,$22.41,37.30%,
2012,$7.25,$9.43,$22.65,38.10%,
2011,$7.25,$9.70,$22.49,39.00%,
2010,$6.55,$9.87,$21.77,36.30%,
2009,$5.85,$7.32,$21.79,33.60%,
2008,$5.15,$6.63,$21.54,30.80%,
2007,$5.15,$6.84,$21.42,31.90%,
2006,$5.15,$7.07,$21.54,32.80%,
2005,$5.15,$7.27,$21.67,33.50%,
2004,$5.15,$7.43,$21.58,34.40%,
2003,$5.15,$7.55,$21.31,35.40%,
2002,$5.15,$7.76,$21.12,36.80%,
2001,$5.15,$8.03,$21.01,38.20%,
2000,$5.15,$8.20,$20.71,39.60%,
1999,$5.15,$8.31,$20.18,41.20%,
1998,$4.75,$7.83,$19.84,39.50%,
1997,$4.25,$7.19,$19.71,36.50%,
1996,$4.25,$7.36,$19.65,37.50%,
1995,$4.25,$7.52,$19.55,38.50%,
1994,$4.25,$7.71,$19.53,39.50%,
1993,$4.25,$7.90,$19.53,40.40%,
1992,$3.80,$7.32,$19.65,37.30%,
1991,$3.35,$6.77,$19.83,34.10%,
1990,$3.35,$7.07,$19.91,35.50%,
1989,$3.35,$7.32,$19.98,36.70%,
1988,$3.35,$7.57,$20.17,37.60%,
1987,$3.35,$7.71,$20.08,38.40%,
1986,$3.35,$7.97,$20.20,39.50%,
1985,$3.35,$8.30,$20.32,40.90%,
1984,$3.35,$8.66,$20.31,42.60%,
1983,$3.35,$9.18,$20.36,45.10%,
1982,$3.10,$9.30,$20.51,45.30%,
1981,$2.90,$9.67,$21.14,45.70%,
1980,$2.65,$9.68,$21.47,45.10%,
1979,$2.30,$8.97,$21.21,42.30%,
1978,$2.30,$9.54,$21.00,45.50%,
1977,$2.10,$9.21,$20.79,44.30%,
1976,$2.00,$9.50,$21.08,45.00%,
1975,$1.60,$8.35,$21.62,38.60%,
1974,$1.60,$8.88,$21.70,40.90%,
1973,$1.60,$9.15,$20.76,44.10%,
1972,$1.60,$9.55,$20.35,46.90%,
1971,$1.60,$10.01,$20.14,49.70%,
1970,$1.60,$10.46,$19.81,52.80%,
1969,$1.40,$9.51,$19.35,49.10%,
1968,$1.25,$8.75,$19.11,45.80%,
1967,$1.25,$9.00,$18.93,47.50%,
1966,$1.25,$9.14,$18.51,49.40%,
1965,,,,,
1964,,,,,
